"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.migrate.jakarta.JakartaFacesXhtml","557","82","0","0.0","0","18464","0.99","370"
"org.openrewrite.java.migrate.jakarta.JavaxWebsocketToJakartaWebsocket","557","82","0","0.0","0","66283","0.99","1036"
"org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","557","82","0","0.0","0","31777","0.99","12385"
"org.openrewrite.java.migrate.javax.HttpSessionInvalidate","557","82","0","0.0","0","6520431","0.99","515775"
"org.openrewrite.maven.ChangeManagedDependencyGroupIdAndArtifactId","4456","82","0","0.0","0","1191618","0.99","145008"
"org.openrewrite.config.DeclarativeRecipe$PreconditionBellwether","3342","82","0","0.0","0","12250298","0.99","837917"
"org.openrewrite.java.migrate.jakarta.UpdateApacheWSSecurityPackages","557","82","0","0.0","0","67776","0.99","15919"
"org.openrewrite.java.migrate.jakarta.JavaxAuthorizationMigrationToJakartaAuthorization","557","82","0","0.0","0","42599","0.99","769"
"org.openrewrite.java.dependencies.ChangeDependency","26736","82","0","0.0","0","19677152853","0.99","19368198789"
"org.openrewrite.java.migrate.javaee8.ServletIsRequestedSessionIdFromURL","557","82","0","0.0","0","40969","0.99","7561"
"org.openrewrite.java.migrate.jakarta.JavaxTransactionMigrationToJakartaTransaction","557","82","0","0.0","0","43275","0.99","493"
"org.openrewrite.java.migrate.jakarta.UpdateAddAnnotatedTypes","557","82","0","0.0","0","12787788","0.99","493294"
"org.openrewrite.java.migrate.jakarta.FacesManagedBeansRemoved","557","82","0","0.0","0","46934","0.99","13210"
"org.openrewrite.java.migrate.jakarta.RemovedStateManagerMethods","557","82","0","0.0","0","27114","0.99","375"
"org.openrewrite.java.dependencies.RemoveDependency","557","82","3358679","0.99","2543819","21690799","0.99","609113"
"org.openrewrite.java.migrate.jakarta.JavaxXmlSoapToJakartaXmlSoap","557","82","0","0.0","0","64935","0.99","783"
"org.openrewrite.java.migrate.jakarta.UpgradeFacesOpenSourceLibraries","557","82","0","0.0","0","35316","0.99","523"
"org.openrewrite.java.migrate.jakarta.JavaxAnnotationMigrationToJakartaAnnotation","557","82","0","0.0","0","38351","0.99","738"
"org.openrewrite.java.ChangePackage","16710","82","0","0.0","0","164581943","0.99","3163523"
"org.openrewrite.java.migrate.jakarta.ServletCookieBehaviorChangeRFC6265","557","82","0","0.0","0","60199","0.99","974"
"org.openrewrite.java.migrate.jakarta.JavaxWebFragmentXmlToJakartaWebFragmentXml","557","82","0","0.0","0","29955","0.99","1331"
"org.openrewrite.java.migrate.jakarta.DeprecatedCDIAPIsRemoved40","557","82","0","0.0","0","86541","0.99","1664"
