"Source path before the run","Source path after the run","Parent of the recipe that made changes","Recipe that made changes","Estimated time saving","Cycle"
"The source path of the file before the run. `null` when a source file was created during the run.","A recipe may modify the source path. This is the path after the run. `null` when a source file was deleted during the run.","In a hierarchical recipe, the parent of the recipe that made a change. Empty if this is the root of a hierarchy or if the recipe is not hierarchical at all.","The specific recipe that made a change.","An estimated effort that a developer to fix manually instead of using this recipe, in unit of seconds.","The recipe cycle in which the change was made."
"ticket-monster/pom.xml","ticket-monster/pom.xml","org.openrewrite.java.migrate.jakarta.JavaxDecoratorToJakartaDecorator","org.openrewrite.java.dependencies.ChangeDependency","300","1"
"ticket-monster/pom.xml","ticket-monster/pom.xml","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","org.openrewrite.java.migrate.jakarta.JavaxDecoratorToJakartaDecorator","300","1"
"ticket-monster/pom.xml","ticket-monster/pom.xml","","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","300","1"
"ticket-monster/pom.xml","ticket-monster/pom.xml","org.openrewrite.java.migrate.jakarta.JavaxInjectMigrationToJakartaInject","org.openrewrite.java.dependencies.ChangeDependency","300","1"
"ticket-monster/pom.xml","ticket-monster/pom.xml","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","org.openrewrite.java.migrate.jakarta.JavaxInjectMigrationToJakartaInject","300","1"
"ticket-monster/pom.xml","ticket-monster/pom.xml","","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","300","1"
"ticket-monster/pom.xml","ticket-monster/pom.xml","org.openrewrite.java.migrate.jakarta.JavaxValidationMigrationToJakartaValidation","org.openrewrite.java.dependencies.ChangeDependency","300","1"
"ticket-monster/pom.xml","ticket-monster/pom.xml","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","org.openrewrite.java.migrate.jakarta.JavaxValidationMigrationToJakartaValidation","300","1"
"ticket-monster/pom.xml","ticket-monster/pom.xml","","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","300","1"
"ticket-monster/pom.xml","ticket-monster/pom.xml","org.openrewrite.java.migrate.jakarta.JavaxXmlBindMigrationToJakartaXmlBind","org.openrewrite.java.dependencies.ChangeDependency","300","1"
"ticket-monster/pom.xml","ticket-monster/pom.xml","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","org.openrewrite.java.migrate.jakarta.JavaxXmlBindMigrationToJakartaXmlBind","300","1"
